id_evento,Estacion,Real_izq_der,Estimacion_izq_der,Real_distance,Estimacion_distance,Real_baz,Estimacion_baz,Distancia_Costa,costero,lat,lon
11514195_4.7,PB18,1.0,1.0,22.86409596,72.2677841186524,287.364685433425,273.198028564453,127.726,0.0,-17.5277,-69.6855
11517516_4.3,PB06,0.0,0.0,292.5575651,289.041900634766,122.124648971096,124.700675964355,72.813,0.0,-24.0918,-67.1353
11517691_4.2,CO02,0.0,0.0,213.8400237,147.088439941406,107.4120154,112.809608459473,61.890,0.0,-31.7628,-68.8464
11517902_4.4,GO01,0.0,1.0,17.80713302,46.0395011901855,160.798574099999,100.883110046387,101.981,0.0,-19.8204,-69.1383
11520604_4.9,GO01,0.0,1.0,8.45754441,38.7690124511719,66.2371858500009,17.7643661499023,101.981,0.0,-19.6377,-69.1204
11522349_4.5,AC02,0.0,0.0,217.2286473,226.301559448242,132.446245788424,137.407913208008,166.364,0.0,-28.1491,-67.4973
11522454_4.4,PB09,0.0,0.0,174.8384999,170.310089111328,94.7042389174496,96.5370941162109,93.322,0.0,-21.9173,-67.5554
11525619_4.2,PB18,1.0,1.0,17.33311727,59.165225982666,281.975974801062,214.914169311523,127.726,0.0,-17.5569,-69.6397
11535096_4.3,PB18,1.0,1.0,109.8490447,54.8529510498047,184.574710248584,215.620025634766,127.726,0.0,-18.5788,-69.563
11536984_4.3,PB06,0.0,0.0,292.2250157,290.836547851563,127.789739115018,128.188629150391,72.813,0.0,-24.3063,-67.2971
11537957_4.8,PB09,0.0,0.0,83.27651507,86.9258804321289,119.618331090559,120.770729064941,93.322,0.0,-22.1666,-68.54
11539931_4.2,PB06,0.0,0.0,276.027091,285.04150390625,122.785261399586,126.146980285645,72.813,0.0,-24.039,-67.2907
11540900_4.5,CO01,0.0,0.0,232.7237066,235.800033569336,136.6018268,130.747100830078,121.188,0.0,-31.4918,-68.4111
11541416_4.4,PB06,0.0,0.0,306.489469,291.455352783203,122.715999261761,124.047470092773,72.813,0.0,-24.1812,-67.0342
11541449_4.3,PB06,0.0,0.0,294.7652972,288.521057128906,125.716065017688,124.57861328125,72.813,0.0,-24.242,-67.2156
11546616_4.4,GO01,0.0,0.0,181.0533123,162.98828125,81.1527524200001,67.8073883056641,101.981,0.0,-19.4089,-67.4909
11546735_4.4,GO03,0.0,0.0,98.12678767,68.5892333984375,100.492036,94.787712097168,66.152,0.0,-27.7515,-69.256
11546920_4.2,PB06,0.0,0.0,276.5358088,281.466491699219,125.700584430002,129.290496826172,72.813,0.0,-24.1475,-67.3625
